High School,Total_Instances,Success_Ranks
ABDÜLHAMİD HAN FEN LİSESİ (AKSARAY - MERKEZ),29,"[5.145, 5.199, 5.947, 7.571, 8.071, 8.58, 9.716, 10.165, 13.25, 13.255, 13.973, 19.32, 20.419, 21.427, 22.161, 23.451, 24.13, 25.654, 25.986, 27.586, 28.342, 30.469, 33.863, 34.037, 34.285, 35.288, 36.548, 39.123, 39.392]"
CİZRE FEN LİSESİ (ŞIRNAK - CİZRE),29,"[1.763, 5.29, 7.32, 8.071, 8.58, 11.277, 13.176, 16.761, 17.273, 17.31, 18.333, 18.719, 19.077, 20.419, 23.448, 24.461, 26.429, 26.474, 27.177, 27.352, 27.413, 27.909, 28.414, 28.704, 29.19, 31.66, 33.565, 33.854, 36.794]"
MUSTAFA KAYNAK ANADOLU LİSESİ (DENİZLİ - MERKEZEFENDİ),28,"[3.577, 5.29, 8.58, 10.795, 11.527, 12.342, 12.683, 14.988, 15.007, 15.038, 17.273, 18.333, 18.464, 20.419, 22.314, 23.323, 24.094, 25.811, 26.897, 28.342, 28.704, 29.182, 34.2, 35.666, 36.937, 37.839, 38.057, 38.082]"
ÖDEMİŞ AYHAN KÖKMEN FEN LİSESİ (İZMİR - ÖDEMİŞ),28,"[452.0, 1.008, 1.242, 1.734, 2.408, 3.356, 3.659, 5.29, 5.947, 7.32, 7.43, 9.162, 10.795, 12.683, 14.988, 18.333, 20.419, 22.161, 23.272, 23.323, 23.451, 23.457, 26.18, 27.413, 27.595, 30.424, 36.935, 38.177]"
AYTEN KEMAL AKINAL ANADOLU LİSESİ (GAZİANTEP - ŞEHİTKAMİL),28,"[286.0, 2.792, 5.199, 8.58, 10.165, 10.612, 14.136, 14.61, 16.846, 17.273, 18.333, 21.168, 22.575, 23.323, 25.044, 26.382, 26.429, 26.474, 27.177, 27.311, 29.256, 30.795, 31.66, 32.716, 34.778, 36.077, 39.392, 39.558]"
TRABZON YOMRA FEN LİSESİ (TRABZON - YOMRA),28,"[1.348, 1.603, 2.408, 3.577, 3.771, 4.686, 5.199, 5.725, 7.31, 7.32, 8.201, 9.716, 11.535, 13.973, 14.203, 14.245, 17.31, 21.103, 23.094, 23.517, 26.044, 26.897, 27.427, 27.956, 31.544, 35.349, 35.36, 38.2]"
ERCAN AKIN FEN LİSESİ (BURDUR - MERKEZ),28,"[1.603, 1.676, 2.408, 3.577, 3.787, 5.29, 7.32, 8.58, 10.795, 14.988, 17.273, 17.824, 18.333, 22.161, 23.457, 23.783, 24.094, 26.345, 27.034, 28.414, 29.704, 30.608, 32.688, 33.932, 35.666, 35.968, 36.935, 37.31]"
EDİRNE SÜLEYMAN DEMİREL FEN LİSESİ (EDİRNE - MERKEZ),28,"[386.0, 1.311, 3.658, 5.145, 6.31, 6.639, 9.627, 12.463, 12.683, 13.324, 13.45, 15.66, 16.552, 16.715, 17.018, 17.942, 18.6, 20.037, 22.314, 24.589, 25.654, 27.595, 28.342, 29.049, 31.45, 32.688, 32.79, 38.057]"
TİRE BELGİN ATİLA ÇALLIOĞLU FEN LİSESİ (İZMİR - TİRE),28,"[4.27, 5.29, 7.32, 8.58, 9.025, 10.165, 10.795, 11.527, 11.733, 12.683, 14.988, 16.715, 16.761, 17.383, 20.037, 20.419, 22.581, 23.783, 24.094, 26.792, 27.413, 27.956, 29.333, 29.719, 32.946, 34.285, 35.666, 39.508]"
HAYDAR ALİYEV FEN LİSESİ (IĞDIR - MERKEZ),28,"[1.242, 1.603, 5.145, 5.29, 8.201, 8.58, 10.321, 12.683, 13.176, 14.089, 16.761, 17.273, 18.333, 23.448, 23.451, 23.517, 23.583, 24.094, 26.474, 26.897, 27.352, 27.427, 28.236, 28.414, 34.531, 34.778, 38.608, 39.123]"
ÖZEL ANKARA ABC FEN LİSESİ (ANKARA - ETİMESGUT),27,"[1.603, 2.086, 3.577, 3.659, 5.199, 7.31, 7.571, 7.583, 7.721, 8.201, 9.716, 11.318, 13.25, 13.485, 13.487, 14.61, 15.007, 17.828, 19.32, 20.245, 22.161, 27.586, 31.866, 33.097, 34.037, 34.163, 37.839]"
ÖZEL ISPARTA BAHÇEŞEHİR ANADOLU LİSESİ (ISPARTA - MERKEZ),27,"[758.0, 1.858, 1.935, 2.792, 3.689, 3.771, 5.145, 5.29, 7.32, 7.43, 8.58, 12.683, 13.973, 14.398, 14.988, 17.824, 22.161, 23.323, 24.094, 27.427, 27.516, 28.342, 28.414, 29.333, 31.866, 34.285, 34.531]"
KARTAL ANADOLU LİSESİ (İSTANBUL - KARTAL),27,"[5.145, 6.31, 8.932, 13.125, 13.547, 16.552, 16.715, 17.89, 18.6, 20.962, 22.581, 23.36, 23.884, 24.461, 25.282, 26.044, 27.595, 27.815, 29.256, 29.261, 31.383, 31.788, 33.097, 34.531, 35.288, 38.232, 39.123]"
KANUNİ ANADOLU LİSESİ (TRABZON - ORTAHİSAR),27,"[1.603, 2.053, 5.199, 5.725, 9.716, 10.612, 11.535, 17.828, 18.464, 18.907, 19.498, 22.581, 23.094, 26.897, 27.427, 28.414, 30.424, 31.102, 32.228, 34.163, 34.627, 34.778, 35.831, 36.271, 38.2, 39.027, 39.123]"
KADİR HAS ANADOLU LİSESİ (İSTANBUL - MALTEPE),27,"[2.053, 3.771, 5.947, 6.205, 6.639, 8.932, 9.025, 9.61, 11.733, 15.038, 16.394, 18.6, 18.907, 20.962, 22.192, 23.36, 26.044, 26.161, 27.815, 27.829, 29.261, 31.102, 31.383, 31.493, 32.688, 33.211, 36.316]"
ODTÜ GELİŞTİRME VAKFI ÖZEL LİSESİ (ANKARA - ÇANKAYA),27,"[945.0, 1.242, 1.858, 1.935, 4.377, 4.84, 5.199, 7.43, 7.769, 10.925, 13.255, 13.45, 13.564, 15.66, 16.052, 17.018, 22.581, 23.914, 26.829, 27.75, 31.866, 32.228, 32.334, 35.574, 35.652, 37.839, 39.206]"
MARDİN ANADOLU LİSESİ (MARDİN - ARTUKLU),27,"[5.199, 8.201, 10.795, 12.683, 13.485, 14.61, 14.988, 16.846, 19.077, 19.705, 20.419, 23.448, 24.094, 25.78, 26.429, 26.474, 26.805, 27.595, 27.909, 29.19, 29.446, 33.854, 34.778, 35.079, 35.417, 37.002, 39.508]"
ÖZEL ÇANKAYA BAHÇEŞEHİR KOLEJİ 50.YIL FEN VE TEKNOLOJİ LİSESİ (ANKARA - ÇANKAYA),27,"[1.348, 1.603, 2.408, 2.792, 3.063, 3.577, 3.659, 3.771, 6.128, 6.31, 7.571, 9.175, 13.255, 15.819, 16.052, 17.383, 22.233, 23.646, 27.595, 28.565, 30.424, 30.913, 31.449, 31.866, 34.163, 35.652, 37.839]"
PROF. DR. ABDULKADİR KARAHAN FEN LİSESİ (ŞANLIURFA - SİVEREK),27,"[2.086, 3.294, 3.577, 5.199, 5.29, 7.571, 8.58, 10.612, 12.683, 13.973, 14.136, 16.761, 16.846, 17.273, 18.767, 19.077, 22.161, 23.284, 23.448, 26.474, 27.177, 27.909, 28.664, 31.66, 35.666, 36.794, 39.508]"
ATAKUM ANADOLU İMAM HATİP LİSESİ (SAMSUN - ATAKUM),26,"[3.294, 3.689, 4.035, 4.344, 11.277, 11.535, 15.819, 16.371, 17.071, 17.31, 17.828, 20.156, 20.245, 21.534, 22.581, 23.517, 26.18, 27.177, 27.427, 27.516, 28.1, 31.544, 33.854, 34.778, 38.2, 38.298]"
MELİHA HASANALİ BOSTAN ÇUBUK FEN LİSESİ (ANKARA - ÇUBUK),26,"[5.199, 6.31, 9.162, 9.61, 9.716, 10.165, 10.779, 14.61, 18.131, 19.32, 19.498, 20.419, 23.451, 23.517, 25.654, 25.811, 27.034, 29.065, 29.446, 30.038, 30.608, 30.913, 34.888, 35.968, 36.937, 39.558]"
ÖZEL YÜKSELEN FEN LİSESİ (ANKARA - ÇUBUK),26,"[2.792, 3.577, 3.659, 6.128, 6.31, 6.727, 7.296, 7.571, 8.201, 8.58, 10.139, 10.612, 10.925, 13.255, 13.45, 15.007, 15.819, 19.32, 26.829, 30.469, 30.608, 32.228, 35.496, 35.652, 37.839, 37.891]"
NUH MEHMET BALDÖKTÜ ANADOLU LİSESİ (KAYSERİ - MELİKGAZİ),26,"[1.288, 5.145, 7.43, 8.201, 13.487, 13.973, 14.136, 15.038, 18.118, 19.32, 21.103, 21.427, 22.314, 22.581, 25.654, 26.805, 27.034, 27.595, 28.1, 29.182, 30.424, 33.097, 34.037, 36.788, 38.608, 39.392]"
MAHMUT CELALEDDİN ÖKTEN ANADOLU İMAM HATİP LİSESİ (TRABZON - ORTAHİSAR),26,"[2.963, 3.294, 3.577, 3.787, 5.199, 6.639, 7.43, 7.571, 8.201, 10.165, 10.779, 10.901, 13.125, 19.569, 23.094, 23.517, 26.897, 28.414, 29.182, 29.19, 31.45, 34.163, 35.496, 36.271, 38.2, 39.123]"
ÖZEL EVRE FEN LİSESİ (MERSİN - YENİŞEHİR),25,"[1.935, 5.29, 5.787, 6.762, 9.627, 10.612, 11.318, 14.398, 14.61, 15.094, 17.273, 17.828, 19.22, 21.103, 22.085, 22.161, 22.669, 23.36, 25.78, 26.382, 31.085, 33.565, 34.531, 35.831, 38.208]"
ÖZEL BALIKESİR AÇI FEN LİSESİ (BALIKESİR - ALTIEYLÜL),25,"[758.0, 945.0, 1.288, 1.311, 1.676, 2.887, 5.145, 5.29, 6.639, 9.937, 10.165, 11.733, 13.973, 17.132, 20.037, 22.314, 26.897, 27.034, 27.516, 27.595, 30.796, 33.408, 34.531, 35.079, 35.417]"
TOBB FEN LİSESİ (ŞANLIURFA - HALİLİYE),25,"[532.0, 5.199, 5.787, 7.32, 7.571, 8.58, 9.627, 10.165, 10.612, 11.277, 11.535, 13.973, 14.61, 16.846, 19.077, 22.085, 23.448, 26.382, 26.474, 27.909, 28.1, 28.704, 29.182, 32.348, 34.778]"
TUŞBA TÜRKİYE ODALAR VE BORSALAR BİRLİĞİ FEN LİSESİ (VAN - TUŞBA),25,"[5.725, 7.32, 10.165, 13.176, 14.61, 16.089, 17.162, 18.333, 18.662, 18.907, 19.077, 20.037, 20.419, 20.962, 23.134, 23.448, 24.13, 24.752, 27.177, 27.352, 28.704, 29.182, 35.417, 38.608, 39.508]"
ELBİSTAN BORSA İSTANBUL FEN LİSESİ (KAHRAMANMARAŞ - ELBİSTAN),25,"[3.577, 5.199, 8.201, 9.627, 10.612, 10.795, 14.988, 16.846, 17.828, 18.719, 18.907, 19.498, 21.103, 21.168, 21.427, 22.314, 22.581, 22.669, 23.448, 27.311, 30.795, 31.66, 33.097, 35.831, 36.077]"
ÖZEL YENİ ORTADOĞU FEN LİSESİ (DİYARBAKIR - KAYAPINAR),25,"[1.288, 2.388, 2.392, 3.294, 3.356, 3.689, 5.29, 7.32, 8.58, 13.564, 16.761, 17.273, 17.828, 19.077, 22.842, 23.284, 23.646, 26.897, 27.815, 27.909, 29.19, 31.66, 34.531, 36.073, 38.243]"
AYRANCI ANADOLU LİSESİ (ANKARA - ÇANKAYA),25,"[6.31, 6.65, 11.519, 13.25, 15.007, 15.819, 16.052, 17.071, 20.156, 22.233, 23.646, 26.383, 27.586, 27.75, 28.565, 30.469, 30.795, 30.913, 32.334, 32.565, 33.854, 36.937, 37.002, 37.839, 39.558]"
DR. İLHAMİ TANKUT ANADOLU LİSESİ (ANTALYA - KONYAALTI),25,"[945.0, 3.659, 5.29, 10.321, 12.286, 13.25, 13.45, 17.824, 19.077, 22.085, 22.161, 22.581, 23.389, 23.783, 26.345, 28.1, 29.333, 30.795, 31.183, 34.2, 34.285, 35.666, 36.921, 38.2, 38.55]"
ŞEHİT MUHSİN KİREMİTÇİ FEN LİSESİ (KONYA - SEYDİŞEHİR),25,"[5.199, 5.725, 6.762, 10.165, 13.25, 14.61, 17.132, 19.22, 19.498, 19.705, 20.419, 22.085, 22.314, 23.389, 24.094, 25.811, 30.795, 31.183, 31.544, 32.565, 35.417, 35.652, 35.968, 36.548, 39.123]"
SAMİHA AYVERDİ ANADOLU LİSESİ (İSTANBUL - ZEYTİNBURNU),25,"[2.963, 5.361, 7.43, 8.071, 10.165, 11.277, 12.236, 13.125, 15.684, 16.371, 17.488, 18.127, 22.581, 23.783, 23.884, 24.589, 26.792, 27.956, 31.383, 32.348, 33.408, 35.831, 36.002, 38.057, 38.275]"
SEYHAN ROTARY ANADOLU LİSESİ (ADANA - YÜREĞİR),24,"[1.242, 8.58, 10.612, 10.795, 12.342, 12.683, 13.255, 14.61, 17.273, 18.333, 20.037, 21.103, 21.168, 25.361, 26.474, 28.1, 31.66, 33.097, 34.285, 34.778, 36.271, 37.839, 38.608, 39.392]"
PROF. DR. NECMEDDİN ERBAKAN FEN LİSESİ (ERZURUM - YAKUTİYE),24,"[1.348, 1.935, 2.053, 2.963, 3.294, 5.145, 5.787, 7.571, 8.58, 11.277, 18.719, 19.498, 23.448, 23.583, 24.461, 26.897, 28.414, 29.182, 32.228, 34.037, 34.163, 34.531, 36.271, 39.123]"
GAZİ ANADOLU LİSESİ (ADANA - SEYHAN),24,"[3.294, 3.659, 5.145, 10.612, 13.564, 18.6, 20.33, 21.168, 22.575, 25.044, 25.654, 26.382, 26.474, 27.034, 27.177, 28.704, 29.182, 31.624, 31.66, 33.565, 33.854, 35.496, 35.795, 39.123]"
ESENYURT NAKİPOĞLU CUMHURİYET ANADOLU LİSESİ (İSTANBUL - ESENYURT),24,"[3.294, 5.145, 7.32, 8.071, 11.277, 12.817, 13.487, 15.038, 16.409, 18.127, 19.442, 20.037, 20.06, 23.517, 23.884, 24.264, 24.589, 26.18, 27.165, 28.1, 28.236, 28.414, 32.248, 33.932]"
ÖZEL AMERİKAN ROBERT LİSESİ (İSTANBUL - BEŞİKTAŞ),24,"[386.0, 1.311, 1.676, 1.858, 1.935, 3.294, 3.771, 6.639, 7.583, 8.932, 10.165, 11.277, 13.176, 13.324, 13.746, 16.394, 17.31, 17.824, 17.828, 17.949, 26.044, 27.815, 33.408, 36.423]"
MAHMUT SAMİ RAMAZANOĞLU ANADOLU İMAM HATİP LİSESİ (KONYA - SELÇUKLU),24,"[2.053, 3.035, 3.294, 4.344, 5.199, 7.43, 8.58, 9.716, 10.165, 13.25, 13.973, 19.973, 20.156, 22.085, 22.161, 25.361, 25.654, 27.165, 29.719, 30.795, 32.565, 35.349, 35.968, 37.569]"
YALOVA-TERMAL FEN LİSESİ (YALOVA - MERKEZ),24,"[1.935, 4.886, 6.399, 6.639, 10.165, 12.201, 13.125, 14.089, 14.988, 17.132, 17.828, 18.719, 20.06, 22.161, 22.314, 23.818, 24.589, 24.752, 27.829, 29.256, 30.722, 32.79, 34.627, 36.067]"
ŞEHİT AHMET ÖZSOY FEN LİSESİ (İZMİR - MENEMEN),24,"[2.086, 5.947, 7.32, 12.683, 16.089, 17.828, 20.419, 21.168, 22.314, 22.581, 23.389, 23.457, 24.094, 26.345, 29.704, 30.796, 31.183, 32.334, 32.946, 34.163, 35.666, 37.002, 38.208, 39.123]"
SAKARYA ANADOLU LİSESİ (SAKARYA - SERDİVAN),24,"[4.686, 12.463, 13.176, 17.018, 17.132, 18.907, 20.037, 20.156, 23.517, 24.094, 25.811, 27.55, 27.586, 29.333, 29.446, 29.827, 30.608, 31.102, 32.688, 32.79, 35.079, 37.839, 38.057, 38.298]"
TATVAN FEN LİSESİ (BİTLİS - TATVAN),24,"[7.42, 11.277, 12.236, 14.136, 14.988, 15.038, 16.394, 17.273, 18.662, 18.719, 19.077, 19.498, 20.962, 21.168, 23.448, 27.177, 27.413, 27.909, 29.182, 30.722, 32.79, 33.854, 38.2, 39.508]"
15 TEMMUZ ŞEHİTLER ANADOLU LİSESİ (İZMİR - KARŞIYAKA),24,"[3.063, 3.577, 5.29, 7.721, 10.795, 14.988, 15.007, 15.094, 16.761, 18.12, 18.246, 22.192, 23.389, 23.783, 26.805, 30.796, 31.577, 32.946, 34.285, 34.888, 35.417, 35.666, 37.002, 38.298]"
MERSİN YUSUF KALKAVAN ANADOLU LİSESİ (MERSİN - MEZİTLİ),24,"[945.0, 1.288, 14.61, 14.988, 15.094, 16.846, 17.018, 17.824, 22.161, 22.192, 24.461, 25.811, 27.177, 27.311, 28.236, 28.704, 29.049, 31.102, 31.624, 32.688, 32.79, 35.349, 36.077, 36.921]"
EYÜPSULTAN ANADOLU LİSESİ (İSTANBUL - EYÜPSULTAN),24,"[5.145, 6.205, 6.762, 12.336, 12.463, 12.558, 14.988, 16.089, 17.132, 17.488, 18.907, 19.963, 20.06, 22.037, 22.581, 23.352, 24.589, 27.956, 28.342, 31.102, 32.565, 32.688, 36.921, 38.275]"
FATİH ANADOLU LİSESİ (MANİSA - YUNUSEMRE),24,"[3.771, 5.145, 5.29, 5.725, 10.321, 10.795, 15.007, 15.038, 17.828, 20.037, 20.33, 21.103, 22.161, 22.575, 24.094, 27.427, 28.342, 29.049, 30.796, 31.183, 31.544, 33.211, 34.2, 35.417]"
ÖZEL UZMANLAR FEN LİSESİ (YALOVA - MERKEZ),24,"[1.288, 2.887, 3.356, 5.199, 6.762, 7.296, 8.071, 9.162, 10.795, 10.901, 12.236, 13.176, 16.371, 17.383, 21.103, 22.581, 23.36, 24.752, 26.044, 27.165, 27.815, 31.102, 31.45, 36.073]"
KEŞAP FEN LİSESİ (GİRESUN - KEŞAP),23,"[6.066, 11.535, 11.733, 13.176, 13.487, 17.273, 17.383, 19.963, 20.117, 20.156, 20.33, 23.517, 24.752, 25.811, 26.897, 27.427, 27.586, 28.414, 30.038, 34.116, 36.271, 38.2, 39.123]"
DEDE KORKUT ANADOLU LİSESİ (İSTANBUL - BAHÇELİEVLER),23,"[1.288, 3.294, 9.627, 11.324, 13.176, 15.66, 15.684, 16.409, 18.6, 20.037, 20.06, 22.669, 23.884, 25.654, 26.345, 26.897, 27.165, 29.049, 33.932, 34.2, 37.312, 38.243, 39.558]"
ÖZEL İSTEK GAZİANTEP FEN LİSESİ (GAZİANTEP - ŞEHİTKAMİL),23,"[363.0, 1.348, 2.826, 5.29, 6.399, 6.639, 7.571, 8.071, 8.58, 13.746, 14.136, 16.846, 17.828, 18.127, 19.442, 20.037, 22.575, 27.815, 29.883, 30.796, 30.913, 31.493, 35.831]"
ÖZEL SARAÇ İLGİ OKULLARI FEN LİSESİ (ŞANLIURFA - KARAKÖPRÜ),23,"[363.0, 532.0, 945.0, 1.935, 2.792, 5.145, 6.205, 6.639, 8.58, 9.627, 11.277, 11.721, 14.136, 14.61, 16.846, 20.156, 21.168, 21.23, 22.575, 23.457, 27.177, 29.182, 34.531]"
MED MARİNE TUNCER ŞEN FEN LİSESİ (KOCAELİ - KÖRFEZ),23,"[8.262, 9.589, 13.176, 13.547, 15.038, 16.052, 17.828, 19.139, 20.156, 22.314, 23.389, 24.13, 24.461, 27.034, 27.586, 27.829, 27.956, 29.333, 30.038, 30.722, 32.79, 34.627, 35.288]"
ECZACI BAHATTİN-SEVİNÇ ERDİNÇ FEN LİSESİ (ADANA - CEYHAN),23,"[4.84, 4.886, 6.639, 9.627, 10.612, 14.61, 14.988, 16.846, 19.32, 21.103, 21.168, 22.085, 23.284, 23.389, 25.044, 25.654, 25.78, 27.311, 27.595, 28.191, 28.704, 29.883, 30.722]"
ÖZEL ALTINYILDIZ FEN LİSESİ (NEVŞEHİR - MERKEZ),23,"[532.0, 1.242, 1.348, 1.603, 1.935, 2.14, 4.377, 4.686, 5.199, 7.583, 8.201, 8.734, 9.61, 9.716, 13.973, 14.136, 15.007, 21.427, 23.451, 25.654, 26.106, 26.345, 31.66]"
ÖZEL ŞANLIURFA YÜKSELİŞ KOLEJİ FEN VE TEKNOLOJİ LİSESİ (ŞANLIURFA - KARAKÖPRÜ),23,"[532.0, 1.288, 1.935, 2.887, 3.294, 3.577, 3.771, 4.91, 5.145, 7.571, 8.58, 12.236, 13.176, 17.273, 17.828, 19.077, 19.973, 21.168, 23.352, 26.474, 27.516, 34.778, 36.077]"
15 TEMMUZ ŞEHİTLER FEN LİSESİ (KOCAELİ - ÇAYIROVA),23,"[5.725, 7.32, 8.071, 9.025, 9.162, 11.277, 11.535, 14.988, 16.715, 18.6, 19.963, 22.192, 22.581, 23.272, 23.783, 24.589, 26.897, 28.414, 29.049, 29.719, 32.688, 38.232, 38.298]"
ÖZEL BİLİM KAMPÜS ANADOLU LİSESİ (DENİZLİ - MERKEZEFENDİ),23,"[1.348, 2.053, 2.887, 3.659, 3.689, 5.29, 6.639, 7.32, 11.733, 14.988, 15.094, 18.333, 19.442, 23.884, 26.044, 27.427, 29.883, 31.493, 34.531, 35.652, 35.795, 38.243, 39.027]"
GÖYNÜK FEN LİSESİ (ANTALYA - KEMER),23,"[5.946, 7.43, 8.58, 13.25, 14.988, 17.824, 17.942, 20.156, 21.168, 22.314, 23.457, 25.811, 27.427, 27.956, 28.342, 29.333, 30.795, 34.627, 35.496, 36.794, 36.921, 38.2, 39.123]"
ATATÜRK LİSESİ (ESKİŞEHİR - ODUNPAZARI),23,"[1.288, 1.603, 2.519, 7.43, 8.932, 12.463, 13.176, 13.255, 13.564, 15.038, 15.819, 16.409, 23.323, 25.986, 26.18, 27.595, 28.236, 29.256, 30.608, 34.163, 34.2, 36.548, 36.935]"
BORSA İSTANBUL FEN LİSESİ (ESKİŞEHİR - TEPEBAŞI),22,"[1.242, 9.627, 11.535, 13.255, 13.487, 15.038, 15.094, 15.819, 18.769, 20.33, 21.103, 22.161, 23.323, 26.897, 28.1, 30.038, 30.608, 30.796, 33.565, 35.349, 36.696, 37.839]"
MEHMET KOLOĞLU ANADOLU LİSESİ (ELAZIĞ - MERKEZ),22,"[4.686, 5.145, 6.31, 7.571, 8.201, 8.58, 10.165, 11.733, 17.071, 19.498, 21.168, 23.284, 25.044, 26.106, 27.177, 27.311, 30.469, 30.671, 32.565, 33.097, 34.888, 38.243]"
ÖZEL MUSTAFA KEMAL FİNAL ANADOLU LİSESİ (ANKARA - ÇANKAYA),22,"[452.0, 3.063, 3.659, 6.066, 7.571, 8.201, 11.527, 13.324, 15.007, 15.033, 15.819, 17.273, 19.32, 22.161, 22.233, 23.451, 23.646, 29.182, 30.913, 31.866, 32.228, 35.574]"
SİNOP FEN LİSESİ (SİNOP - MERKEZ),22,"[3.577, 5.199, 11.535, 12.342, 12.463, 13.487, 18.333, 18.662, 20.037, 21.103, 23.284, 23.517, 26.345, 27.427, 27.595, 27.75, 28.376, 29.333, 31.544, 32.688, 36.271, 38.2]"
TERME FEN LİSESİ (SAMSUN - TERME),22,"[286.0, 2.963, 5.145, 7.296, 8.201, 11.535, 12.342, 13.973, 17.071, 20.156, 23.517, 23.783, 25.811, 26.345, 27.516, 30.038, 31.544, 34.531, 36.271, 36.548, 38.2, 39.123]"
ERCİŞ FEN LİSESİ (VAN - ERCİŞ),22,"[5.29, 8.58, 13.125, 14.988, 19.077, 21.168, 23.448, 23.457, 23.884, 26.345, 26.897, 27.177, 28.414, 29.333, 30.795, 32.565, 35.079, 35.417, 36.794, 37.002, 39.123, 39.508]"
ZİLE FEN LİSESİ (TOKAT - ZİLE),22,"[1.935, 5.145, 7.571, 8.201, 9.61, 10.165, 10.795, 13.485, 13.487, 14.136, 15.66, 21.427, 22.581, 23.517, 26.345, 27.034, 27.516, 30.469, 31.102, 31.544, 33.097, 34.2]"
MERZİFON FEN LİSESİ (AMASYA - MERZİFON),22,"[1.935, 2.388, 3.294, 3.577, 5.199, 7.31, 11.535, 11.7, 12.342, 13.176, 13.487, 13.564, 14.988, 16.089, 20.156, 21.103, 23.517, 24.13, 26.345, 27.427, 31.544, 38.243]"
GAZİPAŞA FEN LİSESİ (ANTALYA - GAZİPAŞA),22,"[4.27, 5.29, 11.535, 13.255, 14.988, 15.819, 17.273, 17.824, 17.828, 18.131, 22.085, 22.161, 23.517, 25.811, 30.722, 30.913, 34.2, 34.285, 35.349, 35.496, 37.839, 39.123]"
ADİLE MERMERCİ ANADOLU LİSESİ (İSTANBUL - ZEYTİNBURNU),22,"[2.963, 8.071, 9.025, 11.277, 14.203, 19.22, 20.43, 21.156, 21.23, 23.451, 23.783, 23.884, 27.165, 27.516, 27.586, 27.815, 28.236, 28.376, 30.774, 31.493, 33.932, 35.079]"
FETHİYE ÖMER ÖZYER ANADOLU LİSESİ (MUĞLA - FETHİYE),22,"[9.589, 9.627, 12.683, 13.564, 14.988, 15.007, 18.907, 20.962, 21.156, 22.037, 22.161, 23.389, 27.165, 27.427, 28.236, 28.376, 34.778, 34.888, 35.417, 35.666, 38.608, 39.027]"
GÖLBAŞI FEN LİSESİ (ADIYAMAN - GÖLBAŞI),22,"[3.577, 4.377, 5.29, 5.787, 8.58, 10.321, 10.612, 13.255, 14.61, 15.038, 18.118, 19.077, 21.168, 22.669, 25.811, 27.177, 28.565, 33.097, 33.565, 34.888, 36.077, 36.794]"
YUSUF KEMALETTİN PERİN FEN LİSESİ (İZMİR - BERGAMA),22,"[2.474, 5.29, 5.361, 7.32, 8.58, 10.795, 11.535, 12.683, 15.038, 17.018, 17.273, 17.383, 17.828, 18.246, 20.419, 23.272, 23.389, 24.094, 26.18, 32.946, 38.057, 38.608]"
SÜLEYMAN DEMİREL ANADOLU LİSESİ (ANKARA - SİNCAN),22,"[6.31, 9.716, 10.139, 13.25, 15.007, 15.819, 19.32, 19.498, 21.103, 23.451, 24.094, 24.13, 32.334, 32.565, 34.037, 34.163, 34.627, 34.888, 35.288, 36.937, 37.31, 39.558]"
DÜZCE TURGUT ÖZAL ANADOLU LİSESİ (DÜZCE - MERKEZ),21,"[4.27, 5.725, 7.32, 8.58, 9.627, 14.089, 15.66, 18.907, 22.037, 22.314, 22.669, 23.451, 27.146, 27.956, 28.191, 30.424, 31.102, 34.627, 35.079, 36.548, 37.31]"
ARTVİN FEN LİSESİ (ARTVİN - MERKEZ),21,"[6.639, 10.795, 11.277, 11.527, 12.683, 13.487, 15.038, 18.719, 21.156, 22.581, 22.669, 26.897, 27.427, 27.595, 29.446, 30.913, 31.544, 32.79, 36.271, 36.921, 38.608]"
ŞEHİT ABDULKADİR KILAVUZ ANADOLU LİSESİ (UŞAK - MERKEZ),21,"[5.29, 5.725, 7.32, 9.025, 10.165, 10.321, 13.125, 14.61, 14.988, 17.273, 17.828, 23.451, 24.13, 26.382, 27.034, 27.165, 28.236, 30.038, 35.417, 35.666, 38.243]"
ŞEHZADELER GEDİZ ANADOLU LİSESİ (MANİSA - ŞEHZADELER),21,"[1.348, 1.676, 3.294, 5.29, 7.296, 7.32, 9.61, 10.165, 13.485, 14.988, 20.156, 20.419, 20.538, 23.272, 24.094, 25.986, 26.474, 27.586, 29.065, 29.704, 34.888]"
MEHMET HADİ KAHRAMAN FEN LİSESİ (MARDİN - KIZILTEPE),21,"[5.145, 5.29, 5.946, 7.571, 8.58, 13.324, 14.61, 17.273, 17.383, 20.037, 22.085, 26.382, 26.474, 27.177, 27.909, 28.414, 29.19, 34.285, 34.778, 36.794, 39.28]"
MEHMET TEKİNALP ANADOLU LİSESİ (İSTANBUL - TUZLA),21,"[4.099, 4.377, 5.145, 6.205, 6.639, 8.071, 11.277, 12.286, 12.342, 16.409, 20.06, 22.192, 22.581, 23.583, 23.914, 24.752, 29.049, 29.446, 31.45, 33.05, 33.932]"
NECİP FAZIL KISAKÜREK ANADOLU LİSESİ (KÜTAHYA - MERKEZ),21,"[5.29, 8.58, 9.627, 16.089, 16.761, 17.132, 18.662, 20.419, 23.323, 23.451, 24.094, 24.752, 26.18, 26.805, 27.427, 27.595, 28.1, 29.261, 32.565, 34.627, 36.921]"
